two_theta,CPS,ESD
23.7,25,2.449
23.72,8.33,1.414
23.74,16.67,2
23.76,12.5,1.732
23.78,20.83,2.236
23.8,25,2.449
23.82,16.67,2
23.84,4.17,1
23.86,4.17,1
23.88,20.83,2.236
23.9,12.5,1.732
23.92,25,2.449
23.94,16.67,2
23.96,4.17,1
23.98,25,2.449
24,4.17,1
24.02,8.33,1.414
24.04,16.67,2
24.06,4.17,1
24.08,16.67,2
24.1,8.33,1.414
24.12,25,2.449
24.14,0,0
24.16,12.5,1.732
24.18,8.33,1.414
24.2,12.5,1.732
24.22,20.83,2.236
24.24,12.5,1.732
24.26,8.33,1.414
24.28,0,0
24.3,4.17,1
24.32,12.5,1.732
24.34,16.67,2
24.36,4.17,1
24.38,16.67,2
24.4,16.67,2
24.42,16.67,2
24.44,8.33,1.414
24.46,4.17,1
24.48,12.5,1.732
24.5,8.33,1.414
24.52,16.67,2
24.54,12.5,1.732
24.56,4.17,1
24.58,16.67,2
24.6,12.5,1.732
24.62,8.33,1.414
24.64,12.5,1.732
24.66,25,2.449
24.68,16.67,2
24.7,4.17,1
24.72,16.67,2
24.74,25,2.449
24.76,12.5,1.732
24.78,16.67,2
24.8,4.17,1
24.82,8.33,1.414
24.84,20.83,2.236
24.86,16.67,2
24.88,12.5,1.732
24.9,8.33,1.414
24.92,12.5,1.732
24.94,25,2.449
24.96,12.5,1.732
24.98,12.5,1.732
25,20.83,2.236
25.02,25,2.449
25.04,4.17,1
25.06,4.17,1
25.08,8.33,1.414
25.1,8.33,1.414
25.12,25,2.449
25.14,12.5,1.732
25.16,12.5,1.732
25.18,20.83,2.236
25.2,0,0
25.22,16.67,2
25.24,4.17,1
25.26,12.5,1.732
25.28,12.5,1.732
25.3,12.5,1.732
25.32,8.33,1.414
25.34,8.33,1.414
25.36,16.67,2
25.38,20.83,2.236
25.4,8.33,1.414
25.42,4.17,1
25.44,8.33,1.414
25.46,0,0
25.48,16.67,2
25.5,29.17,2.646
25.52,12.5,1.732
25.54,8.33,1.414
25.56,4.17,1
25.58,16.67,2
25.6,8.33,1.414
25.62,12.5,1.732
25.64,8.33,1.414
25.66,12.5,1.732
25.68,16.67,2
25.7,8.33,1.414
25.72,20.83,2.236
25.74,4.17,1
25.76,4.17,1
25.78,12.5,1.732
25.8,0,0
25.82,20.83,2.236
25.84,16.67,2
25.86,20.83,2.236
25.88,16.67,2
25.9,16.67,2
25.92,4.17,1
25.94,16.67,2
25.96,25,2.449
25.98,25,2.449
26,16.67,2
26.02,12.5,1.732
26.04,20.83,2.236
26.06,8.33,1.414
26.08,16.67,2
26.1,12.5,1.732
26.12,12.5,1.732
26.14,8.33,1.414
26.16,16.67,2
26.18,8.33,1.414
26.2,29.17,2.646
26.22,4.17,1
26.24,12.5,1.732
26.26,16.67,2
26.28,12.5,1.732
26.3,12.5,1.732
26.32,16.67,2
26.34,12.5,1.732
26.36,20.83,2.236
26.38,25,2.449
26.4,4.17,1
26.42,0,0
26.44,0,0
26.46,4.17,1
26.48,4.17,1
26.5,25,2.449
26.52,8.33,1.414
26.54,0,0
26.56,16.67,2
26.58,4.17,1
26.6,16.67,2
26.62,8.33,1.414
26.64,41.67,3.162
26.66,16.67,2
26.68,25,2.449
26.7,12.5,1.732
26.72,8.33,1.414
26.74,0,0
26.76,12.5,1.732
26.78,16.67,2
26.8,8.33,1.414
26.82,8.33,1.414
26.84,8.33,1.414
