two_theta,CPS,ESD
86.08,570.83,11.705
86.1,470.83,10.63
86.12,341.67,9.055
86.14,291.67,8.367
86.16,233.33,7.483
86.18,179.17,6.557
86.2,158.33,6.164
86.22,141.67,5.831
86.24,141.67,5.831
86.26,112.5,5.196
86.28,145.83,5.916
86.3,120.83,5.385
86.32,87.5,4.583
86.34,83.33,4.472
86.36,75,4.243
86.38,137.5,5.745
86.4,100,4.899
86.42,100,4.899
86.44,62.5,3.873
86.46,112.5,5.196
86.48,100,4.899
86.5,95.83,4.796
86.52,75,4.243
86.54,95.83,4.796
86.56,145.83,5.916
86.58,104.17,5
86.6,120.83,5.385
86.62,125,5.477
86.64,95.83,4.796
86.66,129.17,5.568
86.68,179.17,6.557
86.7,141.67,5.831
86.72,187.5,6.708
86.74,212.5,7.141
86.76,250,7.746
86.78,416.67,10
86.8,370.83,9.434
86.82,258.33,7.874
86.84,270.83,8.062
86.86,262.5,7.937
86.88,175,6.481
86.9,154.17,6.083
86.92,133.33,5.657
86.94,95.83,4.796
86.96,141.67,5.831
86.98,116.67,5.292
87,100,4.899
87.02,120.83,5.385
87.04,87.5,4.583
87.06,145.83,5.916
87.08,108.33,5.099
87.1,104.17,5
87.12,75,4.243
87.14,62.5,3.873
87.16,100,4.899
87.18,95.83,4.796
87.2,162.5,6.245
87.22,75,4.243
87.24,91.67,4.69
87.26,79.17,4.359
87.28,112.5,5.196
87.3,75,4.243
87.32,87.5,4.583
87.34,116.67,5.292
87.36,87.5,4.583
87.38,75,4.243
87.4,83.33,4.472
87.42,83.33,4.472
87.44,83.33,4.472
87.46,120.83,5.385
87.48,100,4.899
87.5,95.83,4.796
87.52,75,4.243
87.54,79.17,4.359
87.56,104.17,5
87.58,62.5,3.873
87.6,79.17,4.359
87.62,87.5,4.583
87.64,91.67,4.69
87.66,70.83,4.123
87.68,83.33,4.472
87.7,100,4.899
87.72,91.67,4.69
87.74,75,4.243
87.76,87.5,4.583
87.78,91.67,4.69
87.8,100,4.899
87.82,95.83,4.796
87.84,75,4.243
87.86,120.83,5.385
87.88,70.83,4.123
87.9,150,6
87.92,129.17,5.568
87.94,87.5,4.583
87.96,108.33,5.099
87.98,79.17,4.359
88,62.5,3.873
88.02,116.67,5.292
88.04,100,4.899
88.06,83.33,4.472
88.08,108.33,5.099
88.1,100,4.899
88.12,104.17,5
88.14,145.83,5.916
88.16,100,4.899
88.18,95.83,4.796
88.2,116.67,5.292
88.22,116.67,5.292
88.24,79.17,4.359
88.26,112.5,5.196
88.28,83.33,4.472
88.3,108.33,5.099
88.32,137.5,5.745
88.34,120.83,5.385
88.36,133.33,5.657
88.38,108.33,5.099
88.4,104.17,5
88.42,112.5,5.196
88.44,95.83,4.796
88.46,104.17,5
88.48,112.5,5.196
88.5,112.5,5.196
88.52,104.17,5
88.54,70.83,4.123
88.56,100,4.899
88.58,129.17,5.568
88.6,133.33,5.657
88.62,100,4.899
88.64,137.5,5.745
88.66,120.83,5.385
88.68,116.67,5.292
88.7,87.5,4.583
88.72,133.33,5.657
88.74,100,4.899
88.76,133.33,5.657
88.78,100,4.899
88.8,104.17,5
88.82,54.17,3.606
88.84,91.67,4.69
88.86,108.33,5.099
88.88,104.17,5
88.9,125,5.477
88.92,100,4.899
88.94,104.17,5
88.96,116.67,5.292
88.98,145.83,5.916
89,116.67,5.292
89.02,95.83,4.796
89.04,108.33,5.099
89.06,100,4.899
89.08,112.5,5.196
89.1,104.17,5
89.12,129.17,5.568
89.14,104.17,5
89.16,58.33,3.742
89.18,100,4.899
89.2,120.83,5.385
89.22,116.67,5.292
89.24,154.17,6.083
89.26,112.5,5.196
89.28,112.5,5.196
89.3,112.5,5.196
89.32,145.83,5.916
89.34,125,5.477
89.36,104.17,5
89.38,166.67,6.325
89.4,129.17,5.568
89.42,91.67,4.69
89.44,154.17,6.083
89.46,129.17,5.568
89.48,116.67,5.292
89.5,158.33,6.164
89.52,175,6.481
89.54,179.17,6.557
89.56,162.5,6.245
89.58,120.83,5.385
89.6,141.67,5.831
89.62,191.67,6.782
89.64,129.17,5.568
89.66,183.33,6.633
89.68,162.5,6.245
89.7,120.83,5.385
89.72,170.83,6.403
89.74,179.17,6.557
89.76,179.17,6.557
89.78,162.5,6.245
89.8,162.5,6.245
89.82,191.67,6.782
89.84,166.67,6.325
89.86,216.67,7.211
89.88,216.67,7.211
89.9,225,7.348
89.92,212.5,7.141
89.94,266.67,8
89.96,266.67,8
89.98,212.5,7.141
90,229.17,7.416
